city,price_USD,name,engine_size,URL,colour,kilometrage,drive,body_type,year,region,price_UAH,model,gearbox,fuel_type,make
,650,ВАЗ 2101,1.2,http://rst.ua/oldcars/vaz/2101/vaz_2101_5122457.html,,235418,4WD,,1979,,15200,,Manual,Petrol,
,2000,ГАЗ 69,2.1,http://rst.ua/oldcars/gaz/69/gaz_69_5020407.html,,111111,4WD,,1969,,46600,,Automatic,Petrol,
,6000,LEXUS LS,4.0,http://rst.ua/oldcars/lexus/ls/lexus_ls_5044753.html,,0,4WD,,1993,,139700,,Automatic,Petrol,
,7000,CHRYSLER Sebring,2.7,http://rst.ua/oldcars/chrysler/sebring/chrysler_sebring_5113532.html,,122000,4WD,,2005,,162900,,Automatic,Petrol,
,9800,BMW 7-series,3.5,http://rst.ua/oldcars/bmw/7-series/bmw_7-series_3895557.html,,361000,4WD,,2000,,228100,,Automatic,Petrol,
,6500,CHEVROLET Niva,1.7,http://rst.ua/oldcars/chevrolet/niva/chevrolet_niva_5102104.html,,180000,4WD,,2006,,151300,,Manual,Petrol,
,1300,CITROEN AX,1.4,http://rst.ua/oldcars/citroen/ax/citroen_ax_4980026.html,,1000000,4WD,,1987,,30300,,Automatic,Petrol,
,4400,CITROEN Berlingo,1.9,http://rst.ua/oldcars/citroen/berlingo/citroen_berlingo_5003472.html,,172000,4WD,,2005,,102400,,Manual,Diesel,
,12300,VOLKSWAGEN Transporter,2.5,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_5092597.html,,184000,4WD,,2005,,286200,,Manual,Diesel,
,2700,OPEL Omega,2.0,http://rst.ua/oldcars/opel/omega/opel_omega_5095183.html,,1000000,4WD,,1988,,62900,,Manual,LPG/Petrol,
,5699,БОГДАН 2110,1.6,http://rst.ua/oldcars/bogdan/2110/bogdan_2110_5060333.html,,17000,4WD,,2013,,132600,,Manual,Petrol,
,4200,ВАЗ Калина,1.6,http://rst.ua/oldcars/vaz/kalina/vaz_kalina_4969896.html,,125000,4WD,,2007,,97800,,Manual,LPG/Petrol,
,6900,SKODA Octavia,2.0,http://rst.ua/oldcars/skoda/octavia/skoda_octavia_5110426.html,,188000,4WD,,2004,,160600,,Manual,Petrol,
,3500,ВАЗ 21099,1.5,http://rst.ua/oldcars/vaz/21099/vaz_21099_5107320.html,,128000,4WD,,2007,,81500,,Manual,LPG/Petrol,
,8200,PEUGEOT 307,2.0,http://rst.ua/oldcars/peugeot/307/peugeot_307_3966382.html,,150000,4WD,,2006,,190800,,Automatic,Petrol,
,1000,ВАЗ 2106,1.6,http://rst.ua/oldcars/vaz/2106/vaz_2106_4839537.html,,123454321,4WD,,1978,,23300,,Manual,Petrol,
,7500,PEUGEOT Expert,1.9,http://rst.ua/oldcars/peugeot/expert/peugeot_expert_5065902.html,,230000,4WD,,2006,,174600,,Automatic,Diesel,
,6500,SKODA Fabia,1.4,http://rst.ua/oldcars/skoda/fabia/skoda_fabia_5068587.html,,139000,4WD,,2005,,151300,,Manual,LPG/Petrol,
,10500,MERCEDES Vito,2.2,http://rst.ua/oldcars/mercedes/vito/mercedes_vito_4925465.html,,267000,4WD,,2005,,244400,,Manual,Diesel,
,3000,FORD Escort,1.6,http://rst.ua/oldcars/ford/escort/ford_escort_5108722.html,,60000,4WD,,1989,,69900,,Automatic,Petrol,
,9850,RENAULT Trafic,2.0,http://rst.ua/oldcars/renault/trafic/renault_trafic_5120523.html,,183000,4WD,,2007,,229200,,Manual,Diesel,
,14900,MERCEDES Sprinter,2.2,http://rst.ua/oldcars/mercedes/sprinter/mercedes_sprinter_5120249.html,,1000,4WD,,2008,,346700,,Automatic,Diesel,
,10700,BMW 7-series,3.0,http://rst.ua/oldcars/bmw/7-series/bmw_7-series_5123944.html,,268000,4WD,,2001,,249000,,Automatic,Diesel,
,12100,NISSAN Primastar,2.0,http://rst.ua/oldcars/nissan/primastar/nissan_primastar_4775532.html,,123710,4WD,,2012,,281600,,Manual,Diesel,
,10000,TOYOTA Camry,3.0,http://rst.ua/oldcars/toyota/camry/toyota_camry_5129327.html,,130000,4WD,,2005,,232700,,Automatic,Petrol,
,1000,ВАЗ 2103,1.5,http://rst.ua/oldcars/vaz/2103/vaz_2103_5120946.html,,125754,4WD,,1977,,23300,,Manual,Petrol,
