city,price_USD,name,engine_size,URL,colour,kilometrage,drive,body_type,year,region,price_UAH,model,gearbox,fuel_type,make
,11000,VOLKSWAGEN Polo,1.6,http://rst.ua/oldcars/volkswagen/polo/volkswagen_polo_5120794.html,,47000,4WD,,2013,,256000,,Manual,Petrol,
,5500,SKODA Fabia,1.2,http://rst.ua/oldcars/skoda/fabia/skoda_fabia_5071074.html,,94000,4WD,,2006,,128000,,Automatic,Petrol,
,10000,VOLKSWAGEN Jetta,1.6,http://rst.ua/oldcars/volkswagen/jetta/volkswagen_jetta_5098234.html,,168000,4WD,,2006,,232700,,Manual,LPG/Petrol,
,3800,CHERY QQ,1.1,http://rst.ua/oldcars/chery/qq/chery_qq_5100696.html,,27000,4WD,,2008,,88500,,Manual,Petrol,
,12800,SSANGYONG Kyron,2.3,http://rst.ua/oldcars/ssangyong/kyron/ssangyong_kyron_5101896.html,,77600,4WD,,2009,,297900,,Automatic,LPG/Petrol,
,9500,VOLKSWAGEN Transporter,2.5,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_3832180.html,,270000,4WD,,2001,,221100,,Manual,Diesel,
,9400,RENAULT Kangoo,1.5,http://rst.ua/oldcars/renault/kangoo/renault_kangoo_5108850.html,,31000,4WD,,2014,,218800,,Manual,Diesel,
,4300,DAEWOO Lanos,1.5,http://rst.ua/oldcars/daewoo/lanos/daewoo_lanos_5123047.html,,170000,4WD,,2005,,100100,,Automatic,Petrol,
,10950,CITROEN C4,1.6,http://rst.ua/oldcars/citroen/c4/citroen_c4_5089553.html,,47000,4WD,,2010,,254800,,Automatic,Petrol,
,3000,FORD Escort,1.6,http://rst.ua/oldcars/ford/escort/ford_escort_5082750.html,,245000,4WD,,1995,,69900,,Manual,Petrol,
,20900,FORD Kuga,2.0,http://rst.ua/oldcars/ford/kuga/ford_kuga_5087666.html,,62000,4WD,,2012,,486300,,Automatic,Diesel,
